"scenario","type","year","energy"
"iea6","heavy.truck.international.PH","2035",84.4
"iea6","heavy.truck.international.PH","2040",98.9
"iea6","heavy.truck.international.PH","2045",112.1
"iea6","heavy.truck.international.PH","2050",123.8
"iea6","heavy.truck.international.EV","2011",0
"iea6","heavy.truck.international.EV","2015",0
"iea6","heavy.truck.international.EV","2020",0
"iea6","heavy.truck.international.EV","2025",0
"iea6","heavy.truck.international.EV","2030",0
"iea6","heavy.truck.international.EV","2035",0
"iea6","heavy.truck.international.EV","2040",0
"iea6","heavy.truck.international.EV","2045",0
"iea6","heavy.truck.international.EV","2050",0
"iea6","heavy.truck.international.H2","2011",0
"iea6","heavy.truck.international.H2","2015",7.9
"iea6","heavy.truck.international.H2","2020",8.1
"iea6","heavy.truck.international.H2","2025",7.6
"iea6","heavy.truck.international.H2","2030",6.7
"iea6","heavy.truck.international.H2","2035",5.2
"iea6","heavy.truck.international.H2","2040",3.5
"iea6","heavy.truck.international.H2","2045",1.7
"iea6","heavy.truck.international.H2","2050",0
"iea6","train.freight.international.fuel","2011",15.9
"iea6","train.freight.international.fuel","2015",17.5
"iea6","train.freight.international.fuel","2020",20.9
"iea6","train.freight.international.fuel","2025",23.6
"iea6","train.freight.international.fuel","2030",26
"iea6","train.freight.international.fuel","2035",26.5
"iea6","train.freight.international.fuel","2040",26.4
"iea6","train.freight.international.fuel","2045",26
"iea6","train.freight.international.fuel","2050",25.3
"iea6","train.freight.international.elec","2011",24.9
"iea6","train.freight.international.elec","2015",28.4
"iea6","train.freight.international.elec","2020",33.6
"iea6","train.freight.international.elec","2025",37.5
"iea6","train.freight.international.elec","2030",40.8
"iea6","train.freight.international.elec","2035",41.2
"iea6","train.freight.international.elec","2040",40.6
"iea6","train.freight.international.elec","2045",39.4
"iea6","train.freight.international.elec","2050",37.9
"iea6","ship.freight.international.fuel","2011",2528.1
"iea6","ship.freight.international.fuel","2015",2940.3
"iea6","ship.freight.international.fuel","2020",3599.8
"iea6","ship.freight.international.fuel","2025",4149.9
"iea6","ship.freight.international.fuel","2030",4669.3
"iea6","ship.freight.international.fuel","2035",4881.3
"iea6","ship.freight.international.fuel","2040",4978.1
