"Reference.Article","year","location","scale","species","iLUC.type","dLUC.type","Inclusion_iLUC","Grassland","Forest","Palm","energy.type","generation","allocation","GHG.emissions.of.bioenergy","min.fossil","max.fossil","C.amortizing.period.yrs"
"Souza SP et al  2012",2012,"Brazil","country","palm oil and sugarcane",,"typical savannah",0,1,0,1,"biodiesel","1G","energy",24.92,84,94,30
"Souza SP et al  2012",2012,"Brazil","country","palm oil and sugarcane",,"degraded pastureland",0,1,0,1,"biodiesel","1G","energy",-1.69,84,94,30
"Spatari S & MacLean HL et al 2010",2010,"USA","country","corn stover",,"reserce program land and pasture land",0,1,0,0,"bioethanol","2G","system expansion",-51.28,84,94,30
"Spatari S & MacLean HL et al 2010",2010,"USA","country","corn stover",,"reserce program land and pasture land",0,1,0,0,"bioethanol","2G","system expansion",-5.12,84,94,30
"Spatari S & MacLean HL et al 2010",2010,"USA","country","switchgrass",,"reserce program land and pasture land",0,1,0,0,"bioethanol","2G","system expansion",10.25,84,94,30
"Spatari S & MacLean HL et al 2010",2010,"USA","country","switchgrass",,"reserce program land and pasture land",0,1,0,0,"bioethanol","2G","system expansion",35.89,84,94,30
"Spatari S & MacLean HL et al 2010",2010,"USA","country","switchgrass",,"reserce program land and pasture land",0,1,0,0,"bioethanol","2G","system expansion",-5.12,84,94,30
"Spatari S & MacLean HL et al 2010",2010,"USA","country","switchgrass",,"reserce program land and pasture land",0,1,0,0,"bioethanol","2G","system expansion",-30.76,84,94,30
"Styles D & Jones MB 2008",2008,"Ireland","country","miscanthus",,"grassland",0,1,0,0,"biogas",,,62,360,720,100
"Styles D & Jones MB 2008",2008,"Ireland","country","miscanthus",,"grassland",0,1,0,0,"biogas",,,45,360,720,100
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,175.7,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,187.85,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,140.9,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,93.9,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,35.2,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,58.7,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,0,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,-58.7,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,70.45,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,82.1,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,23.47,100,200,20
"Tonini D et al 2012",2012,"Danmark","country","perrenial crops",,"cropland",1,0,0,0,"biogas",,,-35.2,100,200,20
"Uusitalo V et al 2014a",2014,"Europe","continent","biowaste",,,1,,,0,"biomethane",,"considered as waste",21.79,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","biowaste",,,1,,,0,"biomethane",,"considered as waste",14.38,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","biowaste",,,1,,,0,"biomethane",,"energy",13.93,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","biowaste",,,1,,,0,"biomethane",,"economic",13.71,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","biowaste",,,1,,,0,"biomethane",,"substitution",14.26,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","biowaste",,,1,,,0,"biomethane",,"substitution totla",11.5,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,,1,,,0,"biomethane",,"considered as waste",60.66,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,,1,,,0,"biomethane",,"considered as waste",45.11,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,,1,,,0,"biomethane",,"energy",41.37,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,,1,,,0,"biomethane",,"economic",40.13,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,,1,,,0,"biomethane",,"substitution",45.11,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,,1,,,0,"biomethane",,"substitution totla",39.51,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,"forest",1,0,1,0,"biomethane",,"considered as waste",141.66,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,"forest",1,0,1,0,"biomethane",,"considered as waste",126.11,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,"forest",1,0,1,0,"biomethane",,"energy",122.35,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,"forest",1,0,1,0,"biomethane",,"economic",121.13,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,"forest",1,0,1,0,"biomethane",,"substitution",126.11,100,200,119
"Uusitalo V et al 2014a",2014,"Europe","continent","dedicated energy crops",,"forest",1,0,1,0,"biomethane",,"substitution total",120.51,100,200,119
"Uusitalo V et al 2014b",2014,,"world","palm oil",,"grassland",0,1,0,1,"biodiesel","2G","system expansion",-17.39,84,94,20
"Uusitalo V et al 2014b",2014,,"world","palm oil",,"grassland",0,1,0,1,"biodiesel","2G","energy",-14.61,84,94,20
"Uusitalo V et al 2014b",2014,,"world","palm oil",,"mineral soil",0,0,0,1,"biodiesel","2G","system expansion",256.52,84,94,20
"Uusitalo V et al 2014b",2014,,"world","palm oil",,"mineral soil",0,0,0,1,"biodiesel","2G","energy",230.84,84,94,20
"Uusitalo V et al 2014b",2014,,"world","palm oil",,"foresl",0,0,1,1,"biodiesel","2G","system expansion",426.68,84,94,20
"Uusitalo V et al 2014b",2014,,"world","palm oil",,"foresl",0,0,1,1,"biodiesel","2G","energy",388.63,84,94,20
"Uusitalo V et al 2014b",2014,,"world","rapeseed",,"grassland",0,1,0,0,"biodiesel","1G","system expansion",73.91,84,94,20
"Uusitalo V et al 2014b",2014,,"world","rapeseed oil",,"grassland",0,1,0,0,"biodiesel","1G","energy",70.12,84,94,20
"Uusitalo V et al 2014b",2014,,"world","rapeseed oil",,"temerate forest",0,0,1,0,"biodiesel","1G","system expansion",460.86,84,94,20
"Uusitalo V et al 2014b",2014,,"world","rapeseed oil",,"temerate forest",0,0,1,0,"biodiesel","1G","energy",420.77,84,94,20
"Uusitalo V et al 2014b",2014,,"world","jatropha oil",,"grassland",0,1,0,0,"biodiesel","2G","system expansion",13.04,84,94,20
"Uusitalo V et al 2014b",2014,,"world","jatropha oil",,"grassland",0,1,0,0,"biodiesel","2G","energy",11.68,84,94,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,95.65,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,100,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,78.26,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,98.26,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,91.3,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,91.3,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"degraded grassland",1,1,0,0,"bioelectricity",,,69.56,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"degraded grassland",1,1,0,0,"bioelectricity",,,73.91,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,130.43,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,130.43,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"degraded grassland",1,1,0,0,"bioelectricity",,,104.34,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"degraded grassland",1,1,0,0,"bioelectricity",,,104.34,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,121.73,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"cropland",1,0,0,0,"bioelectricity",,,121.73,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"degraded grassland",1,1,0,0,"bioelectricity",,,100,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","switchgrass",,"degraded grassland",1,1,0,0,"bioelectricity",,,100,720,1800,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",8.24,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",54.55,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",9.94,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",54.55,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",50,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",91.76,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",9.09,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",25.85,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",7.39,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",223.3,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",9.09,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",52.84,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",49.15,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",90.06,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",8.24,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","2G","energy",24.15,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",7.39,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",224.15,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",9.94,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degradeed grass land",1,1,0,0,"biodiesel","1G","energy",53.69,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",50,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",90.91,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",9.09,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",25,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",7.39,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",52.84,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",9.09,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",52.84,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",49.15,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"cropland",1,0,0,0,"biodiesel","1G","energy",90.06,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","1G","energy",9.09,84,94,20
"van Dam J et al 2009",2009,"argentina","region","soybean",,"degraded grassland",1,1,0,0,"biodiesel","2G","energy",52.84,84,94,20
"van der Hilst F et al 2014",2014,"UKRAINE","country","Wheat",,,0,,,0,"bioethanol","1G",,10.7,84,94,20
"van der Hilst F et al 2014",2014,"UKRAINE","country","switchgrass",,,0,,,0,"bioethanol","2G",,-7.7,84,94,20
"van der Hilst F et al 2014",2014,"UKRAINE","country","Wheat",,,0,,,0,"bioethanol","1G",,10.7,84,94,20
"van der Hilst F et al 2014",2014,"UKRAINE","country","switchgrass",,,0,,,0,"bioethanol","2G",,40.2,84,94,20
"Wang M et al 2012",2012,"USA","country","corn",,,1,,,0,"bioethanol","1G","displacement",62,84,94,30
"Wang M et al 2012",2012,"USA","country","switchgrass",,,1,,,0,"bioethanol","2G","displacement",12,84,94,30
"Wang M et al 2012",2012,"USA","country","miscanthus",,,1,,,0,"bioethanol","2G","displacement",5,84,94,30
"Wang M et al 2012",2012,"USA","country","corn stover",,,1,,,0,"bioethanol","2G","displacement",6,84,94,30
"Wang M et al 2012",2012,"USA","country","sugarcane",,,1,,,0,"bioethanol","1G","energy",45,84,94,30
"Wang MQ et al 2011",2011,"USA","country","corn",,,1,,,0,"bioethanol","1G","mass",70,84,94,30
"Wang MQ et al 2011",2011,"USA","country","corn stover forest residues   miscanthus",,,1,,,0,"bioethanol","2G","mass",5,84,94,30
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"forest cover",0,0,1,1,"biodiesel","1G","system expansion",391,84,94,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"natural rain forest",0,0,1,1,"biodiesel","1G","system expansion",107,84,94,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"grassland",0,1,0,1,"biodiesel","1G","system expansion",32,84,94,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"logged ovr rain forest",0,0,1,1,"biodiesel","1G","system expansion",-51,84,94,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"grassland",0,1,0,1,"biodiesel","1G","system expansion",-53,84,94,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"forest cover",0,0,1,1,"bioelectricity",,"system expansion",407,200,500,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"natural rain forest",0,0,1,1,"bioelectricity",,"system expansion",123,200,500,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"grassland",0,1,0,1,"bioelectricity",,"system expansion",48,200,500,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"logged ovr rain forest",0,0,1,1,"bioelectricity",,"system expansion",-35,200,500,25
"Wicke B et al 2008",2008,"malaysia","region","palm oil",,"grassland",0,1,0,1,"bioelectricity",,"system expansion",-37,200,500,25
"Yu Y & Wu H 2010",2010,"Australia","country","mallee",,"cropland",0,0,0,0,"bioethanol","2G",,-13.7,84,94,
"Yu Y & Wu H 2010",2010,"Australia","country","mallee",,"cropland",0,0,0,0,"bioethanol","2G",,-15.7,84,94,
