"scenario","type","year","occupancy","passenger.km","vehicle.km","TWh.vehicle.km","vehicle.km.vehicle","vehicles"
"iea4","plane.passenger.international.long.H2","2020",120,0,0,5.86e-08,1800000,0
"iea4","plane.passenger.international.long.H2","2025",121,0,0,5.73e-08,1800000,0
"iea4","plane.passenger.international.long.H2","2030",121,0,0,5.6e-08,1800000,0
"iea4","plane.passenger.international.long.H2","2035",122,0,0,5.53e-08,1800000,0
"iea4","plane.passenger.international.long.H2","2040",122,0,0,5.46e-08,1800000,0
"iea4","plane.passenger.international.long.H2","2045",123,0,0,5.41e-08,1800000,0
"iea4","plane.passenger.international.long.H2","2050",123,0,0,5.36e-08,1800000,0
"iea4","train.passenger.international.fuel","2011",384,0,0,3.07e-08,150000,0
"iea4","train.passenger.international.fuel","2015",388,2.73e+10,70200000,2.85e-08,150000,468
"iea4","train.passenger.international.fuel","2020",390,8.08e+10,2.07e+08,2.65e-08,150000,1380
"iea4","train.passenger.international.fuel","2025",392,1.53e+11,3.91e+08,2.44e-08,150000,2610
"iea4","train.passenger.international.fuel","2030",393,2.49e+11,6.34e+08,2.27e-08,150000,4230
"iea4","train.passenger.international.fuel","2035",395,3.75e+11,9.49e+08,2.15e-08,150000,6330
"iea4","train.passenger.international.fuel","2040",397,5.37e+11,1.35e+09,2.04e-08,150000,9030
"iea4","train.passenger.international.fuel","2045",398,7.44e+11,1.87e+09,1.97e-08,150000,12500
"iea4","train.passenger.international.fuel","2050",400,1.01e+12,2.52e+09,1.92e-08,150000,16800
"iea4","train.passenger.international.elec","2011",384,0,0,1.26e-08,150000,0
"iea4","train.passenger.international.elec","2015",388,5.36e+10,1.38e+08,1.25e-08,150000,920
"iea4","train.passenger.international.elec","2020",390,1.44e+11,3.7e+08,1.22e-08,150000,2460
"iea4","train.passenger.international.elec","2025",392,2.49e+11,6.36e+08,1.19e-08,150000,4240
"iea4","train.passenger.international.elec","2030",393,3.7e+11,9.41e+08,1.17e-08,150000,6270
"iea4","train.passenger.international.elec","2035",395,5.08e+11,1.29e+09,1.15e-08,150000,8580
"iea4","train.passenger.international.elec","2040",397,6.66e+11,1.68e+09,1.14e-08,150000,11200
"iea4","train.passenger.international.elec","2045",398,8.45e+11,2.12e+09,1.13e-08,150000,14100
"iea4","train.passenger.international.elec","2050",400,1.05e+12,2.62e+09,1.12e-08,150000,17500
"iea2","walk.passenger.urban","2011",1,2.7e+12,2.7e+12,0,0,0
"iea2","walk.passenger.urban","2015",1,3.05e+12,3.05e+12,0,0,0
"iea2","walk.passenger.urban","2020",1,3.45e+12,3.45e+12,0,0,0
"iea2","walk.passenger.urban","2025",1,3.68e+12,3.68e+12,0,0,0
"iea2","walk.passenger.urban","2030",1,3.82e+12,3.82e+12,0,0,0
"iea2","walk.passenger.urban","2035",1,3.84e+12,3.84e+12,0,0,0
"iea2","walk.passenger.urban","2040",1,3.76e+12,3.76e+12,0,0,0
"iea2","walk.passenger.urban","2045",1,3.61e+12,3.61e+12,0,0,0
"iea2","walk.passenger.urban","2050",1,3.38e+12,3.38e+12,0,0,0
"iea2","bike.passenger.urban","2011",1,1.91e+12,1.91e+12,0,1000,1.91e+09
"iea2","bike.passenger.urban","2015",1,2.17e+12,2.17e+12,0,1000,2.17e+09
"iea2","bike.passenger.urban","2020",1,2.49e+12,2.49e+12,0,1000,2.49e+09
"iea2","bike.passenger.urban","2025",1,2.7e+12,2.7e+12,0,1000,2.7e+09
"iea2","bike.passenger.urban","2030",1,2.85e+12,2.85e+12,0,1000,2.85e+09
"iea2","bike.passenger.urban","2035",1,2.92e+12,2.92e+12,0,1000,2.92e+09
"iea2","bike.passenger.urban","2040",1,2.93e+12,2.93e+12,0,1000,2.93e+09
"iea2","bike.passenger.urban","2045",1,2.89e+12,2.89e+12,0,1000,2.89e+09
"iea2","bike.passenger.urban","2050",1,2.79e+12,2.79e+12,0,1000,2.79e+09
"iea2","motorbike.passenger.urban.fuel","2011",1.09,3.49e+12,3.21e+12,3.81e-10,10000,3.21e+08
"iea2","motorbike.passenger.urban.fuel","2015",1.1,4.02e+12,3.65e+12,3.54e-10,10000,3.65e+08
"iea2","motorbike.passenger.urban.fuel","2020",1.11,4.79e+12,4.33e+12,3.25e-10,9890,4.38e+08
"iea2","motorbike.passenger.urban.fuel","2025",1.11,5.37e+12,4.83e+12,2.97e-10,9770,4.94e+08
"iea2","motorbike.passenger.urban.fuel","2030",1.12,5.82e+12,5.2e+12,2.73e-10,9660,5.38e+08
"iea2","motorbike.passenger.urban.fuel","2035",1.13,6.06e+12,5.39e+12,2.51e-10,9540,5.65e+08
"iea2","motorbike.passenger.urban.fuel","2040",1.13,6.14e+12,5.43e+12,2.31e-10,9430,5.75e+08
"iea2","motorbike.passenger.urban.fuel","2045",1.14,6.04e+12,5.31e+12,2.14e-10,9310,5.7e+08
"iea2","motorbike.passenger.urban.fuel","2050",1.14,5.78e+12,5.06e+12,1.98e-10,9200,5.5e+08
"iea2","motorbike.passenger.urban.elec","2011",1.09,4.16e+10,3.82e+10,1.06e-10,10000,3820000
"iea2","motorbike.passenger.urban.elec","2015",1.1,3.03e+11,2.75e+11,1.02e-10,10000,27500000
"iea2","motorbike.passenger.urban.elec","2020",1.11,7.8e+11,7.05e+11,9.77e-11,9890,71300000
