"2011","2015","2020","2025","2030","2035","2040","2045","2050"
0.43488,0.45396,0.53135,0.6332,0.74318,0.85275,0.96036,1.08389,1.18346
0.43488,0.45396,0.49459,0.58332,0.67604,0.74442,0.77937,0.83494,0.83118
0.43488,0.45396,0.48458,0.5182,0.55334,0.58865,0.62431,0.66359,0.70266
0.43488,0.45412,0.46175,0.47163,0.48464,0.50167,0.52214,0.54325,0.56822
0.43488,0.45243,0.4608,0.47177,0.48766,0.56124,0.6516,0.72415,0.79664
