Baseline,Mitigation,Baseline 2050 GHG Emissions,Mitigation 2050 GHG Emissions,Difference in 2050 GHG Emissions
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1800,76.70501099,38.48750052,38.21751046
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1800f,76.70501099,38.48750052,38.21751046
AIM/Hub-Global 2.0|2.5C,AIM/Hub-Global 2.0|1.5C,51.5534099,8.449108156,43.10430175
AIM/Hub-Global 2.0|Baseline,AIM/Hub-Global 2.0|2C,69.51962716,35.54050314,33.97912402
AIM/Hub-Global 2.0|2.5C,AIM/Hub-Global 2.0|WB2C,51.5534099,21.96132601,29.59208389
COFFEE 1.1|CO_CurPol,COFFEE 1.1|CO_2Deg2020,55.38190566,29.0096303,26.37227536
COFFEE 1.1|CO_CurPol,COFFEE 1.1|CO_2Deg2030,55.38190566,28.2229482,27.15895746
COFFEE 1.1|CO_CurPol,COFFEE 1.1|CO_Bridge,55.38190566,25.888382,29.49352366
COFFEE 1.1|CO_CurPol,COFFEE 1.1|CO_GPP,55.38190566,32.91013393,22.47177174
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_400f,52.99083605,22.85927526,30.1315608
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_500,52.99083605,9.352071465,43.63876459
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_500f,52.99083605,24.4360464,28.55478965
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_600,52.99083605,9.78221568,43.20862037
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_600_NDCp,52.99083605,12.04925061,40.94158544
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_600f,52.99083605,27.23970936,25.7511267
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_700,52.99083605,12.72849891,40.26233714
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_700f,52.99083605,30.30346663,22.68736942
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_800,52.99083605,16.65523362,36.33560243
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_800f,52.99083605,33.58061052,19.41022553
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_900,52.99083605,20.81202696,32.17880909
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_900f,52.99083605,35.5387124,17.45212365
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1000,52.99083605,26.5921955,26.39864055
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1000_NDCp,52.99083605,26.45592473,26.53491132
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1000f,52.99083605,37.67220404,15.31863201
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1200,52.99083605,32.34100344,20.64983261
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1200f,52.99083605,39.48105134,13.50978471
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1400,52.99083605,38.08847256,14.90236349
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1400f,52.99083605,42.63630902,10.35452704
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1600,52.99083605,40.98327101,12.00756504
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1600f,52.99083605,42.94243311,10.04840294
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1800,52.99083605,44.29597403,8.694862016
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_1800f,52.99083605,45.71960458,7.271231474
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_2000,52.99083605,47.18124036,5.809595686
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_2000f,52.99083605,47.95708102,5.033755033
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_2500,52.99083605,49.06578659,3.925049456
COFFEE 1.1|EN_INDCi2100,COFFEE 1.1|EN_INDCi2030_2500f,52.99083605,49.06578659,3.925049456
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_400,55.23442166,9.813739615,45.42068204
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_400_lowBECCS,55.23442166,10.21976616,45.0146555
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_400f,55.23442166,23.99980229,31.23461937
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_400f_lowBECCS,55.23442166,22.23770289,32.99671877
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_500,55.23442166,10.84105098,44.39337067
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_500f,55.23442166,25.60119096,29.6332307
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_600,55.23442166,14.1923991,41.04202256
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_600f,55.23442166,28.46570766,26.768714
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_700,55.23442166,17.87030165,37.36412001
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_700f,55.23442166,30.88718131,24.34724035
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_800,55.23442166,20.90355885,34.33086281
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_800f,55.23442166,33.54120814,21.69321352
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_900,55.23442166,24.31852406,30.9158976
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_900f,55.23442166,35.37105134,19.86337032
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1000,55.23442166,27.86962365,27.36479801
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1000f,55.23442166,38.2026538,17.03176786
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1200,55.23442166,35.03394125,20.20048041
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1200f,55.23442166,41.34215751,13.89226415
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1400,55.23442166,38.8146771,16.41974456
